,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,1,17.0,58915.0,220000.0,319000.0,3560.0,5520.0,7355.0
1,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,2,12.0,100000.0,100000.0,100000.0,3257.0,7597.5,11300.0
51,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,70,70.0,12840.0,20000.0,21654.0,94.0,203.0,1195.0
59,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,78,10.0,137500.0,180000.0,421577.5,471.0,500.5,556.0
69,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,200,263.0,180000.0,250000.0,325000.0,165.0,260.0,476.0
78,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,222,16.0,228000.0,250000.0,305000.0,192.5,237.5,541.0
136,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,371,6.0,35359.0,365179.5,695000.0,280.0,533.0,1716.0
155,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,407,8.0,203169.63,262500.0,312500.0,189.5,241.0,339.5
203,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,CESSION,503,5.0,125000.0,209000.0,291500.0,1025.0,1610.0,1725.0
492,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,1,40.0,170000.0,390000.0,607850.0,1527.5,4652.5,7242.5
493,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,2,51.0,109836.5,187710.25,282576.925,7516.0,13253.0,20724.0
495,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,4,13.0,120000.0,158800.0,197600.0,473.0,695.0,2600.0
543,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,70,31.0,32500.0,87500.0,195000.0,490.0,802.0,1290.0
551,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,78,36.0,177500.0,200000.0,223750.0,400.0,695.0,1012.5
561,11000,Arrondissement d'Anvers,Arrondissement Antwerpen,Bezirk Antwerpen,DONATIMMEUB,200,200.0,160000.0,240000.0,325000.0,190.0,420.0,852.5
