,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
561,11001,Aartselaar,Aartselaar,Aartselaar,DONATIMMEUB,200,5.0,150150.0,325000.0,425000.0,686.0,978.0,1002.0
807,11001,Aartselaar,Aartselaar,Aartselaar,OTHER,200,8.0,270000.0,280000.0,300000.0,206.5,254.5,380.0
1299,11001,Aartselaar,Aartselaar,Aartselaar,SUCCNALAT,200,14.0,240000.0,282500.0,342500.0,240.0,452.5,775.0
1527,11001,Aartselaar,Aartselaar,Aartselaar,VENTEIMMEUB,70,7.0,150000.0,150000.0,150000.0,177.0,290.0,399.0
1535,11001,Aartselaar,Aartselaar,Aartselaar,VENTEIMMEUB,78,8.0,354000.0,477500.0,497500.0,309.0,386.0,554.5
1545,11001,Aartselaar,Aartselaar,Aartselaar,VENTEIMMEUB,200,25.0,278000.0,333000.0,390000.0,218.0,278.0,361.0
2019,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,70,11.0,150000.0,160000.0,260000.0,257.0,360.0,399.0
2027,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,78,16.0,95000.0,354000.0,495000.0,285.0,320.0,494.5
2037,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,200,64.0,278000.0,300000.0,390000.0,214.0,307.5,591.0
2041,11001,Aartselaar,Aartselaar,Aartselaar,TOTAL,204,6.0,127000.0,127000.0,127000.0,18.0,163.0,315.0
2283,11002,Anvers,Antwerpen,Antwerpen,CESSION,200,72.0,185000.0,250000.0,357750.0,125.0,171.0,258.0
2292,11002,Anvers,Antwerpen,Antwerpen,CESSION,222,7.0,182500.0,256000.0,321000.0,109.0,122.0,180.0
2369,11002,Anvers,Antwerpen,Antwerpen,CESSION,407,5.0,200000.0,200000.0,200000.0,96.0,115.0,115.0
2775,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,200,69.0,160000.0,278333.335,330000.0,155.0,210.0,290.0
2784,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,222,12.0,168750.0,280000.0,460000.0,103.0,199.5,244.0
2861,11002,Anvers,Antwerpen,Antwerpen,DONATIMMEUB,407,6.0,300000.0,310000.0,350000.0,80.0,115.0,159.0
3021,11002,Anvers,Antwerpen,Antwerpen,OTHER,200,123.0,240000.0,275000.0,351000.0,107.0,176.0,252.0
3025,11002,Anvers,Antwerpen,Antwerpen,OTHER,204,6.0,15000.0,15000.0,15000.0,17.0,53.5,146.0
3267,11002,Anvers,Antwerpen,Antwerpen,PARTAGE,200,9.0,75000.0,258500.0,330000.0,115.0,178.0,270.0
3445,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,2,11.0,140000.0,140000.0,140000.0,1013.0,2851.0,3443.0
3469,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,33,7.0,3018.0,3018.0,3018.0,715.0,881.0,1828.0
3513,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,200,255.0,190000.0,223750.0,300000.0,111.0,170.0,235.0
3516,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,203,5.0,60000.0,60000.0,60000.0,64.0,170.0,277.0
3517,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,204,12.0,30000.0,30000.0,30000.0,18.5,22.5,35.5
3522,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,222,23.0,240000.0,375000.0,475000.0,163.0,237.0,394.0
3599,11002,Anvers,Antwerpen,Antwerpen,SUCCNALAT,407,14.0,200000.0,250000.0,255000.0,90.0,126.0,138.0
3690,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,1,14.0,11880.0,63315.0,114750.0,588.0,679.0,1320.0
3691,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,2,5.0,120978.0,120978.0,120978.0,191.0,11890.0,16139.0
3693,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,4,14.0,4450.605,13000.0,31000.0,56.0,117.0,559.0
3741,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,70,32.0,11340.0,170000.0,230001.0,165.5,225.0,2086.5
3749,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,78,36.0,90000.0,304000.0,335100.0,128.5,150.0,220.5
3759,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,200,824.0,220000.0,285000.0,365000.0,95.0,150.0,216.0
3763,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,204,55.0,20000.0,25000.0,225000.0,16.0,18.0,19.0
3768,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,222,50.0,320000.0,422500.0,670000.0,124.0,213.0,286.0
3826,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,371,11.0,112500.0,250000.0,665000.0,175.0,352.0,1465.0
3840,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,402,5.0,50000.0,253000.0,2500000.0,59.0,65.0,245.0
3845,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,407,76.0,222500.0,280000.0,347500.0,72.0,117.0,159.0
3920,11002,Anvers,Antwerpen,Antwerpen,VENTEIMMEUB,539,8.0,190000.0,330000.0,8050000.0,16.0,38.5,347.5
4005,11002,Anvers,Antwerpen,Antwerpen,VENTEPUBIMMEUB,200,15.0,184000.0,264500.0,312000.0,66.0,129.0,213.0
4182,11002,Anvers,Antwerpen,Antwerpen,TOTAL,1,23.0,19665.0,66225.0,109875.0,353.0,770.0,3630.0
4183,11002,Anvers,Antwerpen,Antwerpen,TOTAL,2,19.0,120978.0,130489.0,140000.0,374.0,1602.0,7065.0
4185,11002,Anvers,Antwerpen,Antwerpen,TOTAL,4,26.0,6000.0,20000.0,42000.0,56.0,117.0,559.0
4207,11002,Anvers,Antwerpen,Antwerpen,TOTAL,33,47.0,3018.0,3018.0,3018.0,561.0,781.0,1275.0
4233,11002,Anvers,Antwerpen,Antwerpen,TOTAL,70,65.0,11340.0,136500.0,230001.0,90.0,225.0,1682.0
4241,11002,Anvers,Antwerpen,Antwerpen,TOTAL,78,193.0,90000.0,296446.27,313480.15,115.0,155.0,195.0
4251,11002,Anvers,Antwerpen,Antwerpen,TOTAL,200,1561.0,218000.0,275000.0,350000.0,103.0,160.0,234.0
4254,11002,Anvers,Antwerpen,Antwerpen,TOTAL,203,10.0,55000.0,60000.0,134000.0,53.0,184.5,277.0
4255,11002,Anvers,Antwerpen,Antwerpen,TOTAL,204,83.0,20000.0,25000.0,70000.0,16.0,18.0,30.0
