,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,1,822.0,6000.0,15000.0,36100.0,1520.0,3285.5,6340.0
1,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,2,353.0,19264.0,29500.0,35000.0,1690.0,3809.0,8090.0
2,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,3,116.0,8800.0,9600.0,10400.0,1720.0,2986.0,5014.0
3,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,4,210.0,1550.0,8000.0,25000.0,205.0,395.5,682.0
8,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,9,161.0,1900.0,3947.5,12447.5,1420.0,2875.0,4800.0
9,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,10,56.0,10000.0,12500.0,120000.0,1076.5,1733.0,3422.5
10,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,11,11.0,1000.0,1000.0,1000.0,993.0,1642.0,6642.0
27,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,35,26.0,9000.0,9000.0,9000.0,270.0,1251.0,5790.0
51,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,70,717.0,5462.5,28403.1,99375.0,53.0,199.0,972.0
59,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,78,180.0,88833.335,138437.5,242500.0,444.5,744.5,1052.5
69,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,200,2632.0,156372.03,220000.0,295500.0,210.0,454.0,900.0
73,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,204,76.0,10000.0,33975.0,78000.0,19.0,34.5,180.5
78,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,222,36.0,290000.0,342500.0,475000.0,160.0,232.5,389.0
80,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,240,50.0,125000.0,250000.0,280000.0,1166.0,2115.5,3114.0
87,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,247,42.0,30000.0,70000.0,100000.0,45.0,291.0,989.0
93,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,265,11.0,110000.0,180000.0,275000.0,226.0,673.5,1956.0
136,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,371,25.0,90000.0,223437.5,290000.0,288.0,671.0,2453.0
150,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,402,14.0,350000.0,447500.0,12427596.5,300.0,822.0,1795.0
155,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,407,119.0,140000.0,220937.5,400000.0,118.0,197.0,364.0
186,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,460,26.0,45000.0,150000.0,220000.0,680.0,1855.0,3320.0
203,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,503,21.0,34000.0,100000.0,120000.0,314.0,908.0,1700.0
230,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,CESSION,539,51.0,15000.0,70000.0,115000.0,117.5,487.0,2121.5
315,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,COMMUNAUTE,200,2874.0,57000.0,160000.0,250000.0,291.0,599.0,1060.0
492,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,1,3860.0,13635.0,40000.0,150000.0,2050.0,4236.0,8430.0
493,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,2,1838.0,18136.0,47500.0,100000.0,2028.0,4268.0,8752.0
494,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,3,521.0,50000.0,50000.0,50000.0,1610.0,3130.0,5940.0
495,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,4,350.0,5600.0,40000.0,160000.0,297.0,569.0,890.0
499,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,8,14.0,2800.0,2800.0,2800.0,380.0,1455.0,3170.0
500,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,9,646.0,1620.0,17150.0,140000.0,1211.0,2855.0,5814.0
501,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,10,145.0,23950.0,85000.0,116255.0,1050.0,2230.0,4280.0
502,1000,Royaume de Belgique,Koninkrijk België,Königreich Belgien,DONATIMMEUB,11,53.0,2500.0,2500.0,2500.0,1556.0,2655.0,6299.0
