,NISCode,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
0,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,1,537.0,15000.0,64894.0,97230.0,1812.0,3508.0,7685.0
1,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,2,267.0,40000.0,60840.0,73218.15,1694.0,4107.0,8890.0
2,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,3,29.0,7000.0,11748.5,16497.0,1244.0,3112.0,5390.0
3,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,4,106.0,6000.0,40000.0,160000.0,309.0,486.0,715.0
8,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,9,101.0,3600.0,6000.0,20000.0,1135.0,2937.0,4760.0
9,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,10,31.0,1500.0,95000.0,200000.0,685.0,1765.0,2240.0
27,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,35,17.0,100000.0,100000.0,100000.0,70.0,176.0,748.0
51,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,70,714.0,2475.0,10000.0,40000.0,20.0,105.0,430.0
59,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,78,169.0,90000.0,167500.0,215000.0,358.0,586.0,863.0
69,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,200,1617.0,180000.0,240000.0,305000.0,243.0,475.0,862.0
72,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,203,23.0,20000.0,20000.0,20000.0,60.0,111.0,800.0
73,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,204,36.0,33250.0,87500.0,117500.0,21.5,91.5,444.5
78,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,222,35.0,190000.0,313000.0,387500.0,134.0,279.0,394.0
80,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,240,38.0,275000.0,297500.0,330000.0,1398.0,2668.5,4343.0
85,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,245,6.0,325000.0,325000.0,325000.0,83.0,458.5,1000.0
87,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,247,28.0,15000.0,125000.0,235000.0,163.0,388.5,751.0
93,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,265,7.0,200000.0,200000.0,200000.0,378.0,2060.0,4797.0
136,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,371,11.0,32500.0,181500.0,335000.0,357.0,900.0,2032.0
154,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,406,5.0,600000.0,775000.0,950000.0,537.0,1072.0,1194.0
155,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,407,85.0,180000.0,222000.0,336000.0,115.0,262.0,382.0
161,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,413,7.0,300000.0,450000.0,600000.0,403.0,1040.5,3480.0
203,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,503,16.0,53000.0,90000.0,125000.0,88.5,416.5,1370.5
230,2000,Région flamande,Vlaams Gewest,Flämische Region,CESSION,539,34.0,2000.0,25000.0,50000.0,87.0,167.0,1400.0
315,2000,Région flamande,Vlaams Gewest,Flämische Region,COMMUNAUTE,200,1612.0,210000.0,305000.0,400000.0,288.0,618.0,1107.0
492,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,1,2109.0,10300.0,41612.5,139700.0,2114.0,4000.0,7130.0
493,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,2,778.0,15685.0,48088.0,120060.0,1980.0,4141.0,8470.0
494,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,3,135.0,14950.0,52450.0,215000.0,1524.0,2979.0,4493.0
495,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,4,180.0,46850.0,102500.0,162500.0,312.5,454.0,776.5
496,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,5,14.0,10000.0,28500.0,393850.0,1545.0,4058.0,7877.0
500,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,9,194.0,3000.0,19020.0,175000.0,1557.0,2842.5,5270.0
501,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,10,85.0,4425.0,7000.0,200000.0,1240.0,1890.0,2956.0
502,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,11,49.0,4194.0,87097.0,170000.0,2600.0,4950.0,7140.0
519,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,35,28.0,70000.0,70000.0,70000.0,360.0,1626.0,3325.0
540,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,67,17.0,76028.25,165000.0,240000.0,237.0,814.0,1258.0
543,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,70,369.0,33000.0,117500.0,200000.0,327.0,759.0,1974.0
551,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,78,429.0,105000.0,142500.0,200000.0,504.0,749.0,1085.0
561,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,200,2954.0,180000.0,246300.0,300000.0,243.0,550.0,1027.0
564,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,203,34.0,60000.0,60000.0,60000.0,41.0,139.5,416.0
565,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,204,124.0,23000.0,50000.0,130000.0,18.0,56.0,380.0
570,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,222,171.0,288000.0,400000.0,600000.0,196.0,340.5,511.0
572,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,240,99.0,273500.0,295000.0,345000.0,1092.0,2100.0,3680.0
579,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,247,70.0,7560.0,41280.0,75000.0,279.0,1210.0,1889.0
581,2000,Région flamande,Vlaams Gewest,Flämische Region,DONATIMMEUB,261,12.0,190000.0,275000.0,530000.0,771.0,1002.0,2163.5
