,NISCode,Fictious,NameFre,NameDut,NameGer,TransactionType,ParcelNature,ParcelsNumber,PriceP25,PriceP50,PriceP75,ParcelsAreaP25,ParcelsAreaP50,ParcelsAreaP75
1545,11001A00-,0,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,VENTEIMMEUB,200,6.0,320000.0,401000.0,497000.0,165.0,215.5,350.0
2037,11001A00-,0,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,TOTAL,200,11.0,220000.0,320000.0,427000.0,105.0,213.0,350.0
3759,11001A01-,0,DE LEEUWERIK,DE LEEUWERIK,DE LEEUWERIK,VENTEIMMEUB,200,7.0,430000.0,459000.0,595000.0,259.0,463.0,819.0
4251,11001A01-,0,DE LEEUWERIK,DE LEEUWERIK,DE LEEUWERIK,TOTAL,200,12.0,320000.0,430000.0,595000.0,234.5,293.5,809.5
6465,11001A020,0,BUERSTEDE,BUERSTEDE,BUERSTEDE,TOTAL,200,6.0,480000.0,527500.0,575000.0,307.0,408.5,510.0
26391,11001A10-,0,'T HEIKEN,'T HEIKEN,'T HEIKEN,TOTAL,200,6.0,514517.5,565500.0,602500.0,295.0,388.0,750.0
33033,11001A20-,0,DE KOEKOEK,DE KOEKOEK,DE KOEKOEK,TOTAL,200,7.0,400000.0,400000.0,400000.0,192.0,273.0,551.0
55259,11002A10-,0,MEIR - LEYSSTRAAT (SP. WALLEN),MEIR - LEYSSTRAAT (SP. WALLEN),MEIR - LEYSSTRAAT (SP. WALLEN),TOTAL,407,6.0,672000.0,1236000.0,1800000.0,64.0,98.0,121.0
57387,11002A11-,0,KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),KIPDORP-ST.-JACOBS (SP.WALLEN),TOTAL,200,6.0,272500.0,402500.0,660000.0,45.0,57.0,78.0
90597,11002B813,0,BLANCEFLOERLAAN  (LINKEROEVER),BLANCEFLOERLAAN  (LINKEROEVER),BLANCEFLOERLAAN  (LINKEROEVER),TOTAL,200,6.0,96626.195,280500.0,448000.0,156.0,198.0,227.0
101175,11002C23-,0,OFFERANDESTRAAT(STATIONSWIJK ),OFFERANDESTRAAT(STATIONSWIJK ),OFFERANDESTRAAT(STATIONSWIJK ),VENTEIMMEUB,200,7.0,360000.0,416500.0,555555.0,63.0,76.0,169.0
101667,11002C23-,0,OFFERANDESTRAAT(STATIONSWIJK ),OFFERANDESTRAAT(STATIONSWIJK ),OFFERANDESTRAAT(STATIONSWIJK ),TOTAL,200,10.0,360000.0,416500.0,555555.0,66.0,109.5,169.0
103389,11002C24-,0,PROVINCIESTRAAT(STATIONSWIJK ),PROVINCIESTRAAT(STATIONSWIJK ),PROVINCIESTRAAT(STATIONSWIJK ),VENTEIMMEUB,200,6.0,328000.0,650000.0,705000.0,77.0,114.5,182.0
103881,11002C24-,0,PROVINCIESTRAAT(STATIONSWIJK ),PROVINCIESTRAAT(STATIONSWIJK ),PROVINCIESTRAAT(STATIONSWIJK ),TOTAL,200,12.0,275000.0,489000.0,705000.0,71.0,114.0,151.5
116673,11002C42-,0,DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),VENTEIMMEUB,200,6.0,195000.0,246307.5,305807.5,45.0,49.5,79.0
117165,11002C42-,0,DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),DE ZAVEL (NOORDWIJK ),TOTAL,200,8.0,170000.0,220000.0,272615.0,46.0,49.5,79.0
119379,11002C43-,0,ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),ST.-WILLEBRORDUS (NOORDWIJK ),TOTAL,200,6.0,206000.0,290500.0,375000.0,55.0,62.5,85.0
121593,11002C44-,0,POTGIETERSTRAAT (NOORDWIJK),POTGIETERSTRAAT (NOORDWIJK),POTGIETERSTRAAT (NOORDWIJK),TOTAL,200,7.0,212500.0,230000.0,315000.0,90.0,98.0,128.0
136599,11002D34-,0,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJ,DAGERAADPLAATS - OOSTSTATIE (OOS,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),VENTEIMMEUB,200,20.0,385000.0,458125.0,587500.0,64.5,83.0,99.5
137091,11002D34-,0,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJ,DAGERAADPLAATS - OOSTSTATIE (OOS,DAGERAADPLAATS - OOSTSTATIE (OOSTWIJK),TOTAL,200,27.0,395000.0,461000.0,575000.0,67.0,84.0,97.0
143733,11002D41-,0,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWI,STAPPAERTS - KRIJGSHOSPITAAL (OO,STAPPAERTS - KRIJGSHOSPITAAL (OOSTWIJK),TOTAL,200,7.0,390000.0,399000.0,561000.0,67.0,80.0,122.0
